,FIPS,County,health_outcomes,health_behaviors,clinical_care,% Fair or Poor Health,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,% Vaccinated,% Unemployed,Social Association Rate,Average Daily PM2.5,Life Expectancy
0,42001,Adams,17.0,12.0,22.0,15.315659333,7.4929335756,1827:1,4144.0,56.0,3.274614031,11.823796123,10.6,79.407376741
1,42003,Allegheny,14.0,19.0,14.0,12.731567892,4.8607007458,915:1,5178.0,48.0,4.0390967328,12.141796561,13.3,77.904417773
2,42005,Armstrong,58.0,62.0,36.0,16.276178514,5.7494184114,2264:1,4689.0,41.0,5.0236406619,19.65205204,11.9,76.187532651
3,42007,Beaver,44.0,48.0,27.0,14.951930276,4.920310269,2340:1,4814.0,45.0,4.5481042626,14.50583845,11.0,76.81500477
4,42009,Bedford,16.0,11.0,42.0,15.521744413,6.9370072384,4040:1,4175.0,37.0,4.5053040869,19.595709571,10.6,78.499470638
5,42011,Berks,36.0,24.0,29.0,18.21500451,7.5294689369,1595:1,4386.0,53.0,4.1603929835,11.559061299,10.0,79.213065662
6,42013,Blair,43.0,40.0,49.0,16.438205968,5.7687716056,1187:1,5953.0,43.0,4.2061959533,18.143969155,11.2,76.884280421
7,42015,Bradford,25.0,54.0,56.0,16.075543758,7.8910907717,1087:1,5428.0,45.0,4.3618348115,13.639426158,9.0,78.360096549
8,42017,Bucks,5.0,2.0,6.0,12.354754827,5.2525386039,1170:1,4495.0,57.0,3.7479219747,7.7664834859,10.1,79.73979738
9,42019,Butler,6.0,8.0,10.0,13.57096933,4.5564876435,1509:1,4290.0,48.0,3.9000436269,12.613036321,11.9,78.687257356
10,42021,Cambria,64.0,25.0,50.0,16.712596617,5.3909282018,1232:1,5919.0,39.0,5.195050048,20.06704045,11.6,75.783553007
11,42023,Cameron,42.0,22.0,35.0,15.950440481,6.285206048,4592:1,5107.0,43.0,5.0396640224,23.954703833,8.9,78.678749984
12,42025,Carbon,59.0,28.0,51.0,16.700428876,6.0362694301,2202:1,5705.0,50.0,5.0656600901,14.721313016,10.2,76.414224688
13,42027,Centre,2.0,16.0,8.0,15.252009729,6.6754829807,1322:1,4183.0,55.0,3.2369551334,12.480019673,8.9,82.922249093
14,42029,Chester,3.0,3.0,7.0,13.00806522,6.2568458494,1170:1,4033.0,58.0,3.1718352677,9.6669895415,10.4,81.38210428
15,42031,Clarion,27.0,44.0,61.0,16.824325623,7.8157991755,2024:1,5153.0,42.0,4.7273982057,16.121483176,10.9,78.168681309
16,42033,Clearfield,45.0,64.0,34.0,17.917194986,7.1391972673,1897:1,5310.0,43.0,4.9910474485,18.32214344,10.8,77.714368771
17,42035,Clinton,13.0,33.0,53.0,15.730382748,7.6298483425,1950:1,4768.0,45.0,5.3197293758,13.590440535,9.7,78.450405936
18,42037,Columbia,47.0,35.0,13.0,16.845909908,5.78527276,1884:1,3650.0,48.0,4.7619047619,14.712127647,10.5,78.180799927
19,42039,Crawford,52.0,61.0,41.0,16.081079806,7.9814505885,1486:1,4364.0,44.0,4.6877005622,15.436576562,10.9,76.923918085
20,42041,Cumberland,7.0,6.0,5.0,13.657063667,6.6032557113,1083:1,3421.0,55.0,3.3251751203,14.036294418,9.8,79.818517234
21,42043,Dauphin,50.0,51.0,16.0,17.386853318,6.6595234316,925:1,4158.0,50.0,3.9770213423,18.461426862,10.7,78.451237177
22,42045,Delaware,34.0,5.0,9.0,15.294496958,5.5536854806,935:1,4565.0,55.0,4.0148970253,8.1105586014,11.9,78.466508639
23,42047,Elk,37.0,13.0,18.0,15.561453006,5.2928932501,2013:1,5016.0,51.0,3.8597599495,18.213729841,9.8,77.472685889
24,42049,Erie,57.0,65.0,21.0,18.196010488,6.4467474785,1265:1,5097.0,51.0,4.7091134148,13.185644403,10.9,77.440226085
25,42051,Fayette,66.0,67.0,57.0,18.179877997,6.2797401623,2684:1,5664.0,42.0,5.8285594156,13.991969826,11.5,75.045162212
26,42053,Forest,20.0,45.0,59.0,18.091985716,6.7923301917,,6017.0,50.0,6.2190423775,9.5929834178,9.8,78.871927966
27,42055,Franklin,15.0,32.0,32.0,14.946833646,7.8141713397,1641:1,4114.0,49.0,3.6930343611,15.625607843,10.4,78.870685771
28,42057,Fulton,35.0,18.0,67.0,15.571089319,7.4641316785,4863:1,6465.0,36.0,3.9446981228,17.135023989,9.9,78.098854098
29,42059,Greene,61.0,55.0,65.0,15.883192154,5.8125915081,2163:1,6169.0,36.0,4.8876032062,14.413924395,11.0,75.842706689
30,42061,Huntingdon,39.0,43.0,33.0,16.636070951,5.9148613655,2843:1,4891.0,41.0,5.2852094902,17.146248709,10.8,78.126723922
31,42063,Indiana,46.0,58.0,55.0,17.220362897,7.319488719,1808:1,5291.0,43.0,4.9147778551,16.1265641,11.7,77.764956336
32,42065,Jefferson,32.0,41.0,38.0,16.307425864,7.6362576508,2190:1,4309.0,43.0,4.648100278,20.089489544,10.8,77.660391378
33,42067,Juniata,18.0,36.0,31.0,16.260005637,8.7830904987,4086:1,3850.0,55.0,4.0051368489,22.028228767,10.9,79.810210266
34,42069,Lackawanna,60.0,52.0,23.0,16.877821932,6.1134810722,1317:1,5252.0,50.0,4.5836893573,11.244964676,9.9,76.62155949
35,42071,Lancaster,9.0,4.0,43.0,16.208434112,12.008154527,1403:1,2891.0,58.0,3.3905050225,14.275109918,11.2,80.133974312
36,42073,Lawrence,65.0,49.0,48.0,16.804873317,6.1191771175,2488:1,5297.0,46.0,5.1000661392,16.538607311,11.4,76.024963032
37,42075,Lebanon,19.0,7.0,20.0,15.694895891,8.6809388516,1684:1,3457.0,53.0,3.7586700739,15.09795784,12.9,78.790809016
38,42077,Lehigh,22.0,31.0,19.0,18.132003186,7.5219967798,983:1,4679.0,56.0,4.6111692533,10.504946875,11.2,79.430368429
39,42079,Luzerne,62.0,53.0,37.0,17.470787951,6.6471660347,1264:1,5222.0,47.0,5.4054910511,10.903029214,10.3,76.463667753
40,42081,Lycoming,29.0,63.0,4.0,16.198109626,6.6878727634,1265:1,3375.0,51.0,4.7957433402,15.987210232,10.1,78.226677071
41,42083,McKean,56.0,59.0,58.0,17.690611856,6.2896953986,1879:1,5961.0,42.0,4.8128042979,19.35639971,9.3,76.809534162
42,42085,Mercer,53.0,50.0,54.0,15.89990122,6.3926609058,1574:1,5615.0,44.0,4.7118014655,16.10738255,9.9,76.808247411
43,42087,Mifflin,41.0,56.0,40.0,16.163412774,9.2206427347,1933:1,4847.0,57.0,4.6759994227,17.030266448,10.5,77.765831892
44,42089,Monroe,38.0,23.0,63.0,16.407622798,7.4643920852,2367:1,5673.0,46.0,5.3558363007,7.6764695381,9.9,78.501738264
45,42091,Montgomery,4.0,1.0,2.0,11.759540191,4.6745529671,718:1,4061.0,59.0,3.4317859662,10.943316285,9.2,80.875609456
46,42093,Montour,10.0,9.0,1.0,13.886127423,5.5928253654,194:1,3934.0,54.0,3.5027624309,16.418563923,10.6,78.392572846
47,42095,Northampton,11.0,15.0,11.0,14.70930485,6.0954222596,1204:1,4845.0,55.0,4.4336060415,10.448080948,10.0,79.930875116
48,42097,Northumberland,55.0,60.0,30.0,18.435831522,6.7413634799,2245:1,5113.0,51.0,5.2442111619,16.516532832,11.2,77.324713704
49,42099,Perry,30.0,21.0,28.0,14.256444719,7.5833933285,3548:1,3671.0,53.0,3.7332784524,16.476250352,11.4,77.20828122
50,42101,Philadelphia,67.0,66.0,64.0,21.655494407,8.2451813826,1449:1,5894.0,47.0,5.541541124,7.5781392822,11.2,76.068158027
51,42103,Pike,23.0,14.0,45.0,15.970971595,7.1553106911,3481:1,4177.0,47.0,5.3810025103,7.3620513189,9.0,79.888342283
52,42105,Potter,51.0,46.0,62.0,16.890653419,6.9679552791,2400:1,4467.0,24.0,5.3275838086,19.640518986,8.6,77.512612489
53,42107,Schuylkill,63.0,29.0,46.0,16.919488705,6.1838697743,1805:1,5181.0,50.0,5.1747616886,13.256738842,11.5,75.465030371
54,42109,Snyder,8.0,30.0,12.0,16.219348717,8.7149858807,2040:1,3443.0,58.0,3.9460736076,14.705521923,11.0,81.099924113
55,42111,Somerset,31.0,42.0,60.0,15.878549656,6.985321373,2569:1,4485.0,33.0,5.1053557059,21.476221796,10.7,77.813616073
56,42113,Sullivan,28.0,27.0,47.0,15.446358247,8.6250285976,,3937.0,48.0,4.9758633494,19.707669568,8.9,77.541259996
57,42115,Susquehanna,40.0,47.0,66.0,16.062968403,7.8460116639,2732:1,5385.0,40.0,4.0228482156,11.711601806,9.2,77.679442979
58,42117,Tioga,12.0,39.0,26.0,14.950574134,7.7597687336,1943:1,4173.0,45.0,5.1669147353,15.198686049,8.5,78.520968086
59,42119,Union,1.0,38.0,3.0,16.182546704,7.465007776,1062:1,2044.0,56.0,3.716904277,14.799865456,10.7,82.372320262
60,42121,Venango,48.0,57.0,44.0,16.424515985,6.4454595653,1785:1,5887.0,51.0,4.9239552206,21.637494687,10.8,77.76509439
61,42123,Warren,26.0,34.0,25.0,15.867054197,5.9683272847,2087:1,4219.0,44.0,4.4548221219,16.389722383,9.9,78.513411374
62,42125,Washington,33.0,17.0,24.0,14.395118721,4.8051619901,1304:1,5351.0,45.0,4.3292044415,14.375440188,10.3,77.042992084
63,42127,Wayne,21.0,20.0,39.0,15.413296012,7.6027819844,1707:1,4215.0,46.0,4.7257119864,10.545845132,9.2,78.247456293
64,42129,Westmoreland,49.0,37.0,17.0,15.745838565,4.9272815215,1292:1,4508.0,48.0,4.4184693793,14.746460141,9.8,77.57179172
65,42131,Wyoming,54.0,26.0,52.0,15.361888455,6.4018493183,1952:1,5446.0,48.0,4.4958533392,8.7841300051,9.5,75.616088901
66,42133,York,24.0,10.0,15.0,14.70234574,6.5137132977,1444:1,4397.0,58.0,3.8540879214,12.374517461,10.7,78.877690271
